timestamp,h2_value,category
2026-05-02T07:38:05.000Z,0.12446218096523465,Actual
2026-05-02T08:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T09:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T10:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T11:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T12:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T13:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T14:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T15:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T16:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T17:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T18:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T19:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T20:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T21:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T22:38:05.000Z,0.12446218096523465,Forecast
2026-05-02T23:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T00:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T01:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T02:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T03:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T04:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T05:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T06:38:05.000Z,0.12446218096523465,Forecast
2026-05-03T07:38:05.000Z,0.12446218096523465,Forecast
